description,image,href,price,resolution,weight,color,operating_system,model,cpu
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" 16:10 FHD 165Hz, GeForce RTX 4050, Intel Core i5-13450HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JU-NS54",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-429-01.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-rog-strix-g16-g614ju-ns54-gaming/p/N82E16834236429,1004.39,Resolution: 1920 x 1200,Weight: 5.51 lbs.,Color: Eclipse Gray,,Model : G614JU-NS54,
"MSI GF Series Thin GF63 12UC-851US 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12450H (2.00GHz) NVIDIA GeForce RTX 3050 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-561-01.png,https://www.newegg.com/global/uk-en/black-msi-gf-series-thin-gf63-12uc-851us-gaming/p/N82E16834156563,601.19,Resolution: 1920 x 1080,Weight: 4.10 lbs.,Color: Black,Operating System: Windows 11 Home 64-bit,Model : Thin GF63 12UC-851US,
"Lenovo Legion Pro 5 16IRX8 82WK000BUS 16.0"" 165 Hz IPS Intel Core i7 13th Gen 13700HX (2.10GHz) NVIDIA GeForce RTX 4060 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-840-205-18.jpg,https://www.newegg.com/global/uk-en/onyx-grey-aluminium-pc-abs-lenovo-legion-pro-5-16irx8-82wk000bus-gaming/p/N82E16834840205,1255.19,Resolution: 2560 x 1600,Weight: 5.60 lbs.,"Color: Onyx Grey, Aluminium (Top), PC-ABS (Bottom)",Operating System: Windows 11 Home 64-bit,Model : 82WK000BUS,
"Acer Nitro V ANV15-51-59MT 15.6"" 144 Hz IPS Intel Core i5 13th Gen 13420H (2.10GHz) NVIDIA GeForce RTX 4050 Laptop GPU 8GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-318-12.jpg,https://www.newegg.com/global/uk-en/obsidian-black-acer-nitro-v-anv15-51-59mt-gaming/p/N82E16834360318,851.99,Resolution: 1920 x 1080,Weight: 4.66 lbs.,Color: Obsidian Black,,Model : NH.QN8AA.001,
"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3"" FHD 144Hz Display, GeForce RTX 4070, AMD Ryzen 9 7940HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707XI-NS94",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-430-20.jpg,https://www.newegg.com/global/uk-en/mecha-gray-asus-tuf-gaming-f17-fa707xi-ns94/p/N82E16834236430,1405.19,Resolution: 1920 x 1080,Weight: 5.73 lbs.,,,Model : FA707XI-NS94,
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" Nebula Display 16:10 QHD 240Hz, GeForce RTX 4070, Intel Core i9-13980HX, 32GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G614JI-XS96",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-376-19.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-rog-strix-g16-g614ji-xs96-gaming/p/N82E16834236376,2127.59,Resolution: 2560 x 1600,Weight: 5.51 lbs.,Color: Eclipse Gray,,Model : G614JI-XS96,
"Acer Nitro 5 AN515-58-56CH 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12500H (2.50GHz) NVIDIA GeForce RTX 4050 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-248-03.png,https://www.newegg.com/global/uk-en/obsidian-black-acer-nitro-5-an515-58-56ch-gaming/p/N82E16834360248,961.19,Resolution: 1920 x 1080,Weight: 5.51 lbs.,Color: Obsidian Black,,Model : NH.QLZAA.001,
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" 16:10 QHD+ 240Hz, GeForce RTX 4060, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-ES94",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-449-01.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-rog-strix-g16-g614jv-es94-gaming/p/N82E16834236449,1737.59,Resolution: 2560 x 1600,Weight: 5.51 lbs.,Color: Eclipse Gray,,Model : G614JV-ES94,
"Lenovo LOQ 16IRH8 82XW001WUS 16.0"" 144 Hz IPS Intel Core i7 13th Gen 13620H (2.40GHz) NVIDIA GeForce RTX 4050 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-840-204-14.jpg,https://www.newegg.com/global/uk-en/storm-grey-lenovo-loq-16irh8-82xw001wus-gaming/p/N82E16834840204,958.79,Resolution: 1920 x 1200,Weight: 5.73 lbs.,"Color: Storm Grey, PC-ABS (Top), PC-ABS (Bottom)",Operating System: Windows 11 Home 64-bit,Model : 82XW001WUS,
"Lenovo Legion Pro 7 16IRX8H 82WQ005CUS 16.0"" 240 Hz IPS Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4090 Laptop GPU 32GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-840-207-17.jpg,https://www.newegg.com/global/uk-en/onyx-grey-lenovo-legion-pro-7-16irx8h-82wq005cus-gaming/p/N82E16834840207,2885.99,Resolution: 2560 x 1600,Weight: 6.17 lbs.,Color: Onyx Grey (Aluminium),Operating System: Windows 11 Home 64-bit,Model : 82WQ005CUS,
